1.0,0.95
1.0,0.65
1.0,0.83
1.0,0.93
1.0,0.86
1.0,0.92
1.0,0.85
1.0,0.84
1.0,0.98
1.0,0.88
1.0,0.88
1.0,0.88
1.0,0.93
1.0,0.91
1.0,0.56
1.0,1.0
1.0,0.62
1.0,0.33
1.0,0.69
1.0,0.41
1.0,0.51
1.0,0.9
1.0,0.58
1.0,0.54
1.0,0.53
1.0,0.42
1.0,0.83
1.0,0.64
1.0,0.98
1.0,0.88
1.0,0.63
1.0,0.69
1.0,0.93
0.0,0.07
0.0,0.16
0.0,0.0
0.0,0.04
0.0,0.29
0.0,0.14
0.0,0.09
0.0,0.69
0.0,0.67
0.0,0.03
0.0,0.18
0.0,0.0
0.0,0.0
0.0,0.03
0.0,0.06
0.0,0.02
0.0,0.02
0.0,0.47
0.0,0.33
0.0,0.58
0.0,0.1
0.0,0.13
0.0,0.32
0.0,0.05
0.0,0.0
0.0,0.24
0.0,0.71
0.0,0.06
0.0,0.05
0.0,0.15
0.0,0.52
0.0,0.77
0.0,0.24
